,id,created_at,text,lang,hashtags,textlist,emoji,clean_text,filter_text,norm_text,lem,excitement,happy,pleasant,surprise,fear,angry,excitement_emoji,happy_emoji,pleasant_emoji,surprise_emoji,fear_emoji,angry_emoji,excitementclass,happyclass,pleasantclass,surpriseclass,fearclass,angryclass,max_value,max_idx
14028,1.2386156290679276e+18,Fri Mar 13 23:59:12 +0000 2020,"RT @amya_mcclain: I don’t care about the virus, this pollen is going to be what takes me out 🤧",en,[],[],🤧,": I don’t care about the virus, this pollen is going to be what takes me out 🤧",I ’ care virus pollen going takes 🤧,"['i', 'care', 'virus', 'pollen', 'going', 'takes']","i,care,virus,pollen,going,take",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
23001,1.238669450603348e+18,Sat Mar 14 03:33:05 +0000 2020,RT @ericaaatorress: summer is so close and I’m still fat #depressed 🥺,en,"[{'text': 'depressed', 'indices': [57, 67]}]",['depressed'],🥺,: summer is so close and I’m still fat 🥺,summer close I ’ still fat 🥺,"['summer', 'close', 'i', 'still', 'fat']","summer,close,i,still,fat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
18634,1.2386368713762284e+18,Sat Mar 14 01:23:37 +0000 2020,why cant i play super smash bros for wii u on my wiiiiii! #annoyed #girlgamerproblems,en,"[{'text': 'annoyed', 'indices': [58, 66]}, {'text': 'girlgamerproblems', 'indices': [67, 85]}]","['annoyed', 'girlgamerproblems']",,why cant i play super smash bros for wii u on my wiiiiii!,cant play super smash bros wii u wiiiiii,"['ca', 'nt', 'play', 'super', 'smash', 'bros', 'wii', 'u', 'wiiiiii']","ca,nt,play,super,smash,bros,wii,u,wiiiiii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
762,1.2385987549465395e+18,Fri Mar 13 22:52:09 +0000 2020,"RT @TonyLeger88: Yup, this is for 2 small packs while we were actually running low at home  😡 couldn’t find any anywhere else, what a rip-o…",en,[],[],😡,": Yup, this is for small packs while we were actually running low at home couldn’t find any anywhere else, what a rip-o…",Yup small packs actually running low home ’ find anywhere else rip-o…,"['yup', 'small', 'packs', 'actually', 'running', 'low', 'home', 'find', 'anywhere', 'else', 'rip', 'o']","yup,small,pack,actually,running,low,home,find,anywhere,else,rip,o",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,angryclass
23282,1.2386704741854904e+18,Sat Mar 14 03:37:09 +0000 2020,RT @afterpartiesorg: 31 states have introduced hair discrimination bills #hair #HairLove #hairdiscrimination #discrimination #WaPo #Marylan…,en,"[{'text': 'hair', 'indices': [73, 78]}, {'text': 'HairLove', 'indices': [79, 88]}, {'text': 'hairdiscrimination', 'indices': [89, 108]}, {'text': 'discrimination', 'indices': [109, 124]}, {'text': 'WaPo', 'indices': [125, 130]}]","['hair', 'hairlove', 'hairdiscrimination', 'discrimination', 'wapo']",,: states have introduced hair discrimination bills …,states introduced hair discrimination bills …,"['states', 'introduced', 'hair', 'discrimination', 'bills']","state,introduced,hair,discrimination,bill",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
26231,1.238682543668355e+18,Sat Mar 14 04:25:06 +0000 2020,".
Damn the @BLMWyoming to Hell and back. 🤬🤬🤬🤬🤬🤬🤬",en,[],[],🤬🤬🤬🤬🤬🤬🤬,. Damn the to Hell and back. 🤬🤬🤬🤬🤬🤬🤬,Damn Hell back 🤬🤬🤬🤬🤬🤬🤬,"['damn', 'hell', 'back']","damn,hell,back",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,angryclass
15615,1.2386162404254433e+18,Sat Mar 14 00:01:38 +0000 2020,RT @alfredmontej01: F*** a virus named Corona!!! All these ppl hella paranoid making certain supplies needed empty.. 😡😡,en,[],[],😡😡,: F*** a virus named Corona!!! All these ppl hella paranoid making certain supplies needed empty..,F*** virus named Corona All ppl hella paranoid making certain supplies needed empty..,"['f', 'virus', 'named', 'corona', 'all', 'ppl', 'hella', 'paranoid', 'making', 'certain', 'supplies', 'needed', 'empty']","f,virus,named,corona,all,ppl,hella,paranoid,making,certain,supply,needed,empty",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,angryclass
18129,1.2386172644690166e+18,Sat Mar 14 00:05:42 +0000 2020,"this fucking virus is ruining EVERYTHING 😡🤬 fuck the corona virus. empty or not im still gonna watch #SmackDown 

die hard #wwe fan",en,"[{'text': 'SmackDown', 'indices': [101, 111]}, {'text': 'wwe', 'indices': [123, 127]}]","['smackdown', 'wwe']",😡🤬,this fucking virus is ruining EVERYTHING 🤬 fuck the corona virus. empty or not im still gonna watch die hard fan,fucking virus ruining EVERYTHING 🤬 fuck corona virus empty im still gon na watch die hard fan,"['fucking', 'virus', 'ruining', 'everything', 'fuck', 'corona', 'virus', 'empty', 'i', 'm', 'still', 'gon', 'na', 'watch', 'die', 'hard', 'fan']","fucking,virus,ruining,everything,fuck,corona,virus,empty,i,m,still,gon,na,watch,die,hard,fan",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,angryclass
25409,1.2386794394724598e+18,Sat Mar 14 04:12:46 +0000 2020,What's with all the logo design companies friending me with the same art pics displayed? #annoyed. 😤,en,"[{'text': 'annoyed', 'indices': [89, 97]}]",['annoyed'],😤,What's with all the logo design companies friending me with the same art pics displayed? .,What 's logo design companies friending art pics displayed,"['what', 'logo', 'design', 'companies', 'friending', 'art', 'pics', 'displayed']","what,logo,design,company,friending,art,pic,displayed",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,angryclass
22400,1.2386671681050092e+18,Sat Mar 14 03:24:00 +0000 2020,RT @AidaGreenbury: I love this #COVID19 message from the Italian grandma. My favorite: there’s no vaccine for #discrimination https://t.co/…,en,"[{'text': 'COVID19', 'indices': [31, 39]}, {'text': 'discrimination', 'indices': [110, 125]}]","['covid19', 'discrimination']",,: I love this message from the Italian grandma. My favorite: there’s no vaccine for,I love message Italian grandma My favorite ’ vaccine,"['i', 'love', 'message', 'italian', 'grandma', 'my', 'favorite', 'vaccine']","i,love,message,italian,grandma,my,favorite,vaccine",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,angryclass
